start_date,strt_statn,gender,start_station_name,start_stn_municipality
10/20/2012 17:15,24,,Seaport Square - Seaport Blvd. at Boston Wharf,Boston
10/20/2012 17:15,111,,TD Garden - Causeway at Portal Park #2,Boston
10/20/2012 17:14,10,Male,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:15,98,,Charlestown - Warren St at Chelsea St,Boston
10/20/2012 17:15,74,Male,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 17:15,44,Male,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:17,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:16,36,Male,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 17:16,10,Male,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:16,33,Male,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:16,33,Male,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:17,72,,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge
10/20/2012 17:17,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:19,44,,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:17,87,Male,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge
10/20/2012 17:17,21,Male,Prudential Center / Belvidere,Boston
10/20/2012 17:18,26,Male,Washington St. at Waltham St.,Boston
10/20/2012 17:19,44,,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:18,45,Male,Yawkey Way at Boylston St.,Boston
10/20/2012 17:18,54,Male,Tremont St / West St,Boston
10/20/2012 17:18,55,Female,Boylston / Mass Ave,Boston
10/20/2012 17:20,87,,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge
10/20/2012 17:21,75,,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 17:21,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:19,4,Female,Tremont St. at Berkeley St.,Boston
10/20/2012 17:19,4,Male,Tremont St. at Berkeley St.,Boston
10/20/2012 17:19,53,Male,Beacon St / Mass Ave,Boston
10/20/2012 17:20,16,Male,Back Bay / South End Station,Boston
10/20/2012 17:21,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:25,52,,Newbury St / Hereford St,Boston
10/20/2012 17:23,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 17:23,22,,South Station - 700 Atlantic Ave.,Boston
10/20/2012 17:22,30,,Brigham Cir / Huntington Ave,Boston
10/20/2012 17:23,131,,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge
10/20/2012 17:22,22,,South Station - 700 Atlantic Ave.,Boston
10/20/2012 17:22,30,,Brigham Cir / Huntington Ave,Boston
10/20/2012 17:22,87,Male,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge
10/20/2012 17:22,129,Male,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge
10/20/2012 17:22,67,Female,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:23,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:22,67,Female,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:22,21,Male,Prudential Center / Belvidere,Boston
10/20/2012 17:23,133,Female,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Cambridge
10/20/2012 17:24,59,,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston
10/20/2012 17:24,59,,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston
10/20/2012 17:26,52,,Newbury St / Hereford St,Boston
10/20/2012 17:23,32,Male,Landmark Centre,Boston
10/20/2012 17:23,9,Male,Agganis Arena - 925 Comm Ave.,Boston
10/20/2012 17:25,74,,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 17:25,54,,Tremont St / West St,Boston
10/20/2012 17:25,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:28,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:28,129,,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge
10/20/2012 17:28,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:25,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:25,54,,Tremont St / West St,Boston
10/20/2012 17:25,52,,Newbury St / Hereford St,Boston
10/20/2012 17:25,53,Male,Beacon St / Mass Ave,Boston
10/20/2012 17:29,129,,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge
10/20/2012 17:29,33,,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:26,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:26,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:28,33,,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:28,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:27,102,,Boston Medical Center -  East Concord at Harrison Ave,Boston
10/20/2012 17:27,87,,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge
10/20/2012 17:27,57,Male,Columbus Ave. at Mass. Ave.,Boston
10/20/2012 17:27,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:27,53,,Beacon St / Mass Ave,Boston
10/20/2012 17:30,54,,Tremont St / West St,Boston
10/20/2012 17:28,76,,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge
10/20/2012 17:29,33,,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:28,50,,Boylston St / Berkeley St,Boston
10/20/2012 17:28,47,,Cross St. at Hanover St.,Boston
10/20/2012 17:30,54,,Tremont St / West St,Boston
10/20/2012 17:29,47,,Cross St. at Hanover St.,Boston
10/20/2012 17:29,72,,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge
10/20/2012 17:28,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:31,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:30,53,,Beacon St / Mass Ave,Boston
10/20/2012 17:29,63,Male,Dorchester Ave. at Gillette Park,Boston
