start_date,end_statn,gender,start_station_name,end_station_name,start_stn_municipality,end_stn_municipality
July-13,75,Male,Kenmore Sq / Comm Ave,Lafayette Square at Mass Ave / Main St / Columbia St,Boston,Cambridge
July-13,67,,MIT Stata Center at Vassar St / Main St,MIT at Mass Ave / Amherst St,Cambridge,Cambridge
July-13,138,Female,Beacon St at Washington / Kirkland,Wilson Square,Somerville,Somerville
July-13,48,Male,Chinatown Gate Plaza - Surface Rd. at Beach St.,Post Office Square,Boston,Boston
July-13,68,Male,Boylston / Mass Ave,Central Square at Mass Ave / Essex St,Boston,Cambridge
July-13,33,Male,Kendall T at Main St,Kenmore Sq / Comm Ave,Cambridge,Boston
July-13,67,Male,Boylston / Mass Ave,MIT at Mass Ave / Amherst St,Boston,Cambridge
July-13,94,,Charles Circle - Charles St. at Cambridge St.,Charlestown - Main St at Austin St,Boston,Boston
July-13,16,Female,South Station - 700 Atlantic Ave.,Back Bay / South End Station,Boston,Boston
July-13,94,,Harvard University River Houses / Plympton St at Memorial Drive,Charlestown - Main St at Austin St,Cambridge,Boston
July-13,78,Male,Lechmere Station at Cambridge St / First St,Union Square - Somerville,Cambridge,Somerville
July-13,32,Male,Lower Cambridgeport at Magazine St/Riverside Rd,Landmark Centre,Cambridge,Boston
July-13,69,,Washington Square at Washington St. / Beacon St.,Coolidge Corner - Beacon St @ Centre St,Brookline,Brookline
July-13,54,,Cross St. at Hanover St.,Tremont St / West St,Boston,Boston
July-13,26,Male,Boylston St / Washington St,Washington St. at Waltham St.,Boston,Boston
July-13,45,Male,Northeastern U / North Parking Lot,Yawkey Way at Boylston St.,Boston,Boston
July-13,20,Male,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Aquarium Station - 200 Atlantic Ave.,Cambridge,Boston
July-13,36,Male,Tremont St / West St,Boston Public Library - 700 Boylston St.,Boston,Boston
July-13,29,,Kendall T at Main St,Innovation Lab - 125 Western Ave. at Batten Way,Cambridge,Boston
July-13,137,Male,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Porter Square Station,Cambridge,Cambridge
July-13,47,Male,Seaport Square - Seaport Blvd. at Boston Wharf,Cross St. at Hanover St.,Boston,Boston
July-13,52,,One Kendall Square at Hampshire St / Portland St,Newbury St / Hereford St,Cambridge,Boston
July-13,67,Female,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,MIT at Mass Ave / Amherst St,Cambridge,Cambridge
July-13,45,Male,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Yawkey Way at Boylston St.,Cambridge,Boston
July-13,58,,Boylston St / Berkeley St,The Esplanade - Beacon St. at Arlington St.,Boston,Boston
July-13,58,,Boylston St / Berkeley St,The Esplanade - Beacon St. at Arlington St.,Boston,Boston
July-13,16,Female,Boston Medical Center -  East Concord at Harrison Ave,Back Bay / South End Station,Boston,Boston
July-13,10,Male,Agganis Arena - 925 Comm Ave.,B.U. Central - 725 Comm. Ave.,Boston,Boston
July-13,139,,Packard Ave / Powderhouse Blvd,Davis Square,Somerville,Somerville
July-13,52,Male,MIT at Mass Ave / Amherst St,Newbury St / Hereford St,Cambridge,Boston
July-13,80,Female,MIT at Mass Ave / Amherst St,MIT Stata Center at Vassar St / Main St,Cambridge,Cambridge
July-13,99,Male,Boylston St / Berkeley St,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-13,58,Female,Washington St. at Waltham St.,The Esplanade - Beacon St. at Arlington St.,Boston,Boston
July-13,96,Female,Kendall T at Main St,Cambridge Main Library at Broadway / Trowbridge St,Cambridge,Cambridge
July-13,88,Male,MIT Stata Center at Vassar St / Main St,Inman Square at Vellucci Plaza / Hampshire St,Cambridge,Cambridge
July-13,43,Male,Mayor Thomas M. Menino - Government Center,Rowes Wharf - Atlantic Ave,Boston,Boston
July-13,72,Female,MIT at Mass Ave / Amherst St,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge,Cambridge
July-13,115,Male,Charlestown - Main St at Austin St,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Boston,Boston
July-13,22,Male,Back Bay / South End Station,South Station - 700 Atlantic Ave.,Boston,Boston
July-13,81,Male,Boylston at Fairfield,Boylston St / Washington St,Boston,Boston
July-13,48,Female,Boylston / Mass Ave,Post Office Square,Boston,Boston
July-13,36,Male,Boylston St / Berkeley St,Boston Public Library - 700 Boylston St.,Boston,Boston
July-13,50,Male,Longwood Ave / Binney St,Boylston St / Berkeley St,Boston,Boston
July-13,100,Female,Boylston / Mass Ave,Dudley Square,Boston,Boston
July-13,99,,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-13,53,Male,Conway Park - Somerville Avenue,Beacon St / Mass Ave,Somerville,Boston
July-13,10,,The Esplanade - Beacon St. at Arlington St.,B.U. Central - 725 Comm. Ave.,Boston,Boston
July-13,42,Male,Post Office Square,Boylston St. at Arlington St.,Boston,Boston
July-13,10,,The Esplanade - Beacon St. at Arlington St.,B.U. Central - 725 Comm. Ave.,Boston,Boston
July-13,143,Male,Porter Square Station,Somerville Hospital at Highland Ave / Crocker St,Cambridge,Somerville
July-13,14,Female,Landmark Centre,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,Boston
July-13,43,Male,Beacon St / Mass Ave,Rowes Wharf - Atlantic Ave,Boston,Boston
July-13,10,,The Esplanade - Beacon St. at Arlington St.,B.U. Central - 725 Comm. Ave.,Boston,Boston
July-13,10,,The Esplanade - Beacon St. at Arlington St.,B.U. Central - 725 Comm. Ave.,Boston,Boston
July-13,113,,South Station - 700 Atlantic Ave.,Charles Circle - Charles St. at Cambridge St.,Boston,Boston
July-13,42,Male,Newbury St / Hereford St,Boylston St. at Arlington St.,Boston,Boston
July-13,47,Male,Franklin St. / Arch St.,Cross St. at Hanover St.,Boston,Boston
